word,pos_tag,level
admirable,JJ,4
admiral,NNP,3.6964875700222
admiral,JJ,6
admiral,VB,6
admiral,RB,6
admiration,NN,3
admiration,VB,3
admire,NNP,2
admire,VB,2
admire,RB,2
admire,JJ,2
admission,NN,3
admit,VB,2
admittedly,RB,4
admittedly,NN,4
admittedly,JJ,4
adolescent,JJ,5.41332082248183
adolescent,NN,5.50447916444803
adolescent,VB,6
adopt,VB,3
adopted,VBN,4
adopted,JJ,4
adoption,NN,4
adorable,NN,3
adorable,JJ,3
adoration,NN,6
adoration,VB,6
adore,VB,4
adore,NNP,4
adore,JJ,4
adore,RB,4
ads,NNS,3
adult,NN,2
adult,JJ,2
adults,NNS,2
advance,NNP,4
advance,VB,3
advance,JJ,3.5
advanced,JJ,2
advanced,NN,2
advanced,VB,2
advancement,NN,4
advantage,NN,2
advantage,VB,2
adventure,NN,2
adverse,JJ,4
advertise,VB,3
advertisement,NN,2
advertiser,NN,5.85920963875049
advertising,NN,2
advertising,JJ,2
advertising,VB,2
advice,NN,2
advise,VB,2
advisor,NN,3
advisor,CC,3
advisor,JJ,3
advisor,VB,3
advisory,NN,3.39505749221604
advisory,JJ,3.95634844202067
advocacy,NN,4.91776397669652
advocacy,JJ,6
advocate,VB,5.21421234330247
advocate,NN,4.47190574598863
aerial,NN,6
aerial,JJ,4.620055017458
aerial,RB,6
aerobic,JJ,6
aerobic,NN,6
aerobic,VB,6
aerospace,JJ,6
aerospace,NN,4.86108154042672
aesthetic,JJ,4.00881750568842
aesthetic,NN,6
affair,NN,2
affairs,NNS,2
affairs,JJ,2
affect,VB,3
affected,VBN,3
affected,JJ,3
affection,NN,3
affiliate,NN,5.56253703604562
affiliates,NNS,5.56253703604562
afford,VB,3
affordable,JJ,4
afghan,JJ,6
afghan,NNP,6
aforementioned,JJ,6
aforementioned,VBN,6
aforementioned,CD,6
afraid,JJ,1
african,NN,2.77102969396269
african,JJ,2.45455275913826
after,JJ,2
after,IN,1
after,RB,2
after,NN,2
after,CC,3
aftermath,NN,5.62206255317287
afternoon,NN,1
afternoon,JJ,1
afternoon,RB,1
aftertaste,NN,6
afterward,RB,3
again,NN,1
again,JJ,1
again,RB,1
against,NN,2
against,IN,2
age,JJ,1
age,NN,1
age,VB,1
aged,JJ,2
aged,VB,2
agencies,NNS,2
agency,NN,2
agency,JJ,2
agenda,NN,3
agent,NN,2
agents,NNS,2
ages,NNS,1
aggravate,VB,6
aggregate,NN,4.02878246977981
aggregate,VB,6
aggregate,JJ,3.91337247658778
aggregate,RB,6
aggression,NN,4.05827005026466
aggression,VB,6
aggression,JJ,6
aggressive,JJ,3
agile,NNP,6
agile,IN,6
agile,JJ,6
agile,VB,6
agile,RB,6
aging,NN,1
aging,JJ,1
aging,VB,1
ago,RB,1
ago,IN,1
ago,JJ,1
agony,NN,4
agree,VB,1
agreed,JJ,1
agreed,VBD,1
agreement,NN,3
agricultural,NN,3
agricultural,JJ,3
agriculture,NN,3
ahead,RB,2
ahead,RP,2
ahead,NN,2
aid,NNP,3
aid,VB,3
aide,NN,3
aids,JJ,3
aids,NNS,3
aids,VB,3
ailment,NN,6
ailment,JJ,6
aim,NN,3
aim,VB,4
air,NN,2
air,VB,2
air,JJ,2
airbag,NN,6
aircraft,NN,4
aircraft,JJ,4
airline,NN,3
airline,JJ,3
airplane,NN,1
airport,NN,1
aisle,NN,2
akin,JJ,5.46314236031784
alarm,NN,2
alarm,VB,3
albeit,IN,4.90630009612356
album,NN,1
albums,NNS,1
albums,VB,1
alcohol,NN,3
alcoholic,JJ,3
alcoholic,NN,4
alert,NN,4
alert,VB,4
alert,JJ,4
algebra,NN,4.89868569762907
algebra,DT,6
algebra,JJ,6
algebra,VB,6
algebra,IN,6
algebra,RP,6
algorithm,VB,6
algorithm,NN,3.20383421406311
algorithm,DT,6
algorithm,JJ,6
alien,NN,5.18281124994953
alien,JJ,4.18545598426094
alignment,JJ,6
alignment,NN,4.41562040057838
alignment,VB,6
alike,RB,3
alike,JJ,3
alive,JJ,2
alive,RB,2
alkali,NNP,5.48657996084946
alkali,DT,6
alkali,VB,6
alkali,JJ,6
alkali,RB,6
alkaline,JJ,5.12629008856323
alkaline,NN,6
alkaline,IN,6
alkaline,PRP,6
alkaline,VB,6
all,RB,2
all,JJ,1.33333333333333
all,NN,1.33333333333333
all,DT,1
all,PRP,1
alleged,VBN,5.87369328058351
alleged,JJ,5.87369328058351
allegedly,RB,4.8202987316764
allegiance,NN,5.11836512538498
allergic,NN,3
allergic,JJ,3
allergic,VB,3
allergy,NN,5.87233873145963
allergy,VB,6
alleviate,VB,5.65181377370024
alley,NNP,5.05760882453459
alleyway,NNP,6
alliance,NN,4
alligator,DT,6
alligator,NN,6
allocate,NN,6
allocate,VB,5.66302023980614
allocate,JJ,6
allocate,RB,6
allocation,JJ,6
allocation,NN,3.19923574001769
allotment,NN,4.98137874931088
allotment,VB,6
allotment,RB,6
allotment,JJ,6
allow,VB,2
allowance,NN,3
allowed,JJ,2
allowed,VBN,2
allows,VB,2
alloy,NN,3.7212513359737
alloy,IN,6
alloy,VB,6
alloy,JJ,6
ally,VB,4
ally,NN,4
almighty,NN,5.82371680732243
almighty,VB,6
almighty,JJ,6
almighty,CD,6
almighty,RB,6
almost,RB,1
alone,JJ,2
alone,RB,1
along,RB,1
along,RP,1.5
along,IN,2
alongside,IN,4
alongside,RB,4
aloof,NN,6
aloof,JJ,6
aloof,VB,6
aloof,DT,6
aloof,IN,6
alpha,NN,6
alpha,DT,6
alpha,JJ,6
alpha,VB,6
alpha,RP,6
alpha,IN,6
alphabet,NN,3
already,RB,1
already,JJ,1
alright,NN,2
alright,DT,2
alright,VB,2
alright,RB,2
alright,JJ,2
also,RB,1
also,NN,1
altar,NNP,4
altar,RB,4
altar,DT,4
altar,VB,4
altar,JJ,4
altar,IN,4
alter,NNP,4
alter,VB,4
alternate,VB,4
alternate,NN,4
alternate,JJ,4
alternative,JJ,3
alternative,NN,3
alternator,NN,6
alternator,VB,6
alternator,IN,6
alternator,JJ,6
although,IN,2
although,CC,2
altitude,NN,4
altitude,JJ,4
alto,NN,5.54998445455541
altogether,RB,3
altruistic,NN,6
altruistic,JJ,6
aluminium,JJ,4
aluminium,NN,4
aluminium,VB,4
aluminum,NN,4
aluminum,JJ,4
alumni,NNS,6
alumni,VB,6
alumnus,NN,6
always,RB,1
always,NN,1
am,NN,1
am,VB,1
am,RB,1
amateur,JJ,5.56457095639942
amateur,NN,5.86772719569687
amaze,NN,4
amaze,VB,4
amazement,NN,4
amazing,JJ,3
amazing,NN,3
ambassador,NNP,4
ambiguity,NN,4
ambiguous,JJ,4
ambiguously,RB,6
ambiguously,JJ,6
ambition,NN,2
ambitious,JJ,3
ambulance,NN,3
ambush,NNP,6
ambush,JJ,6
ambush,VB,6
amen,JJ,6
amend,VB,2.84134347286574
amend,NN,6
amend,IN,6
amend,CC,6
amend,JJ,6
amend,RP,6
amend,RB,6
amendment,NN,1.71555593549707
amendment,JJ,6
amenities,NNS,6
amenities,VB,6
america,NNP,1.38464447026715
american,JJ,1.31390478064251
american,NN,1.17131487569789
americans,NNPS,1
amid,IN,4.77320311994138
amino,JJ,4.11756347535315
amino,NNP,5.08488599661097
amino,VB,6
amino,DT,6
amino,RB,6
ammunition,NN,4.50916673023955
among,IN,2
amongst,NN,4
amongst,IN,4
amongst,JJ,4
amongst,VB,4
amongst,RB,4
amount,NN,3
amount,JJ,3
amount,VB,3
amounts,NNS,3
amounts,VB,3
ampere,JJ,5.60382742577208
ampere,NNP,5.60382742577208
ampere,RB,5.60382742577208
ampere,CD,5.60382742577208
ampere,IN,5.60382742577208
ampere,VB,5.60382742577208
ample,JJ,4
amplify,NN,4
amplify,VB,4
amplify,IN,4
amplify,JJ,4
amplitude,JJ,6
amplitude,VB,6
amplitude,NN,3.82748230252256
amplitude,IN,6
amputate,VB,6
amuse,VB,4
amuse,NNP,4
amuse,IN,4
amusement,VB,2
amusement,NN,2
amusement,JJ,2
an,NNP,1
an,DT,1
an,CC,1
anaemia,NN,6
analog,NNP,5.87980007014263
analog,JJ,5.77393872769426
analogy,NN,4
analogy,JJ,4
analogy,VB,4
analysis,NN,3
analyst,NN,4
analytical,NN,5.61623694582541
analytical,JJ,3.47415637298032
analyze,VB,3
anatomy,NN,4.10041067398345
ancestor,NN,2
ancestor,JJ,2
ancestor,VB,2
anchor,VB,4
anchor,NN,4
ancient,JJ,2
ancient,NN,2
and,NN,1
and,CC,1
and,JJ,1
and,CD,1
anemia,NN,5.13138044843713
angel,NNP,2
angeles,JJ,2
angeles,NNP,2
anger,NN,3
angle,NN,3
angle,VB,3
anglo,NNP,3.90012995004944
anglo,JJ,6
angry,NN,1
angry,JJ,1
anguish,NN,4
animal,JJ,1
animal,NN,1
animals,NNS,1
animate,NN,4
animate,VB,4
animate,JJ,4
animation,NN,3
anime,NNP,6
ankle,NN,2
ankle,DT,2
ankle,VB,2
ankle,JJ,2
ankle,RB,2
ann,NNP,2.36845317172602
annihilate,VB,6
annihilate,NN,6
anniversary,NN,2
annotation,NN,6
announce,VB,3
announced,JJ,3
announced,VBN,3
announcement,NN,3
announcements,NNS,3
annoy,VB,2
annoy,NNP,2
annoy,RB,2
annual,NN,3
annual,JJ,3
annually,RB,3
annuity,NN,4.28101390023403
anomaly,NN,5.47095442044733
anomaly,RB,6
anomaly,VB,6
anomaly,JJ,6
anonymous,JJ,4
another,JJ,1.5
another,NN,1.5
another,DT,1
another,PRP,2
answer,NN,1
answer,JJ,1
answer,VB,1
answers,NN,1
answers,VBZ,1
ant,NN,3
ant,JJ,3
ant,CC,3
ant,VB,3
antelope,JJ,6
antelope,NNP,6
antelope,RB,6
antelope,DT,6
antelope,VB,6
antenna,NNP,4.62609439038734
antenna,VB,6
antenna,DT,6
antenna,JJ,6
antenna,IN,6
antenna,RP,6
anthem,NN,6
anthology,NN,5.73096668837052
anti,NN,3
anti,JJ,3
antibiotic,JJ,5.70988083495285
antibiotic,NN,6
antibody,NN,1
anticipate,VB,4
anticipation,NN,4
antique,NNP,3
antique,JJ,4
antivirus,NN,4
antivirus,VB,4
antivirus,JJ,4
antivirus,CC,4
anxiety,NN,3
anxious,JJ,2
any,DT,1
any,RB,1
any,PRP,1
anybody,NN,1
anybody,PRP,1
anymore,RB,2
anyone,NN,1
anyone,PRP,1
anything,NN,1
anything,PRP,1
anytime,RB,6
anyway,RB,2
anywhere,RB,2
apart,RB,2
apart,RP,2
apartment,NN,2
apartments,NNS,2
ape,NNP,3
ape,VB,3
ape,JJ,3
ape,IN,3
apex,NNP,4.35706454239358
apex,VB,6
apex,RB,6
apex,JJ,6
apex,IN,6
apocalypse,RB,6
apocalypse,NN,6
apocalypse,JJ,6
apocalypse,VB,6
apologize,VB,2
apologize,NN,2
apology,NN,3
apology,JJ,3
app,NN,2.83686660816898
app,JJ,6
app,RP,6
app,CD,6
app,VB,6
app,RB,6
apparatus,NN,2.39372847914834
apparel,NN,4.87873791333208
apparent,JJ,3
apparently,RB,2
appeal,VB,4
appeal,NN,3
appear,VB,2
appearance,NN,2
appears,VBZ,2
appears,NN,2
appendix,NN,2.17762321169903
appendix,VB,6
appendix,DT,6
appendix,CC,6
appendix,RB,6
appendix,JJ,6
appendix,RP,6
appetiser,NN,6
appetite,NN,3
appetizer,NN,6
applause,NN,3
apple,NN,1
apple,JJ,1
appliance,NNP,2
appliances,NNS,2
applicable,JJ,1.97025424349554
application,NN,3
applications,NNS,3
applied,VBN,2
applied,NN,2
applied,JJ,2
apply,VB,2
appoint,VB,3
appointment,NN,2
appraisal,NN,4.05023734693576
appraise,VB,6
appraise,NN,6
appraise,RB,6
appraise,JJ,6
appreciate,VB,2
appreciation,JJ,3
appreciation,NN,3
apprehension,NN,5.13242353837562
apprehensive,NN,6
apprehensive,JJ,6
apprehensive,VB,6
apprentice,NNP,5.5663861488907
apprentice,RB,6
apprentice,JJ,6
apprentice,VB,6
apprenticeship,NN,5.22559040246615
apprenticeship,JJ,6
apprenticeship,VB,6
approach,NN,3
approach,VB,4
appropriate,VB,2
appropriate,JJ,2
appropriately,RB,4
appropriately,NN,4
appropriately,JJ,4
approval,NN,3
approval,JJ,3
approve,VB,3
approved,VBN,3
approved,JJ,3
approximately,RB,3
april,NNP,1
apron,NNP,1
apron,RB,1
apron,IN,1
apron,VB,1
apron,JJ,1
aptitude,NN,5.94787959145646
aptitude,JJ,6
aptitude,VB,6
aquaculture,NN,6
aquaculture,JJ,6
aquaculture,VB,6
aquaculture,IN,6
aquarium,NN,6
aquarium,VB,6
aquarium,JJ,6
aquifer,NNP,5.75444473954182
aquifer,DT,6
aquifer,VB,6
aquifer,IN,6
aquifer,RB,6
aquifer,JJ,6
arabic,NNP,3.11381219078684
arabic,JJ,3.11381219078684
arbitrary,DT,6
arbitrary,JJ,3.52389537303814
arbitrary,NN,6
arbitrary,IN,6
arbitrary,VB,6
arbitration,NN,3.22122952136698
arc,NN,3.0199867980869
arcade,NNP,6
arcade,VB,6
arcade,JJ,6
arch,NN,4
arch,JJ,4
arch,VB,4
archaeological,NN,5.83006100357297
archaeological,JJ,4.87706301259815
archaic,NN,6
archaic,JJ,6
archaic,VB,6
archbishop,NN,4.72743716093929
archbishop,IN,6
archbishop,JJ,6
archbishop,VB,6
archery,NN,6
archery,JJ,6
archery,VB,6
archipelago,NN,6
archipelago,JJ,6
architect,NN,3
architectural,JJ,3.70106940832061
architecture,NN,2
archive,JJ,4
archive,NN,4
archive,VB,4
archives,NNS,4
archives,JJ,4
archives,VB,4
archway,NN,6
arctic,NNP,4
arctic,JJ,4
are,NN,1
are,VBP,1
area,NN,2
area,JJ,2
areas,NNS,2
arena,NNP,4
arguably,RB,5.79779419803474
arguably,NN,6
arguably,JJ,6
argue,VB,2
argument,NN,2
arid,NNP,6
arid,JJ,5.24517958939839
arid,VB,6
arid,RB,6
arise,VB,3
arithmetic,NN,3
arithmetic,JJ,3
arithmetic,DT,3
arithmetic,VB,3
arm,JJ,2
arm,NN,1
arm,VB,3
armchair,NN,2
armchair,IN,2
armchair,VB,2
armchair,JJ,2
armor,NN,2
armour,NNP,5.57257710318399
armour,RB,6
armour,VB,6
armour,JJ,6
armour,DT,6
armour,RP,6
arms,NNS,2
arms,JJ,2
army,NN,3
aroma,NN,6
arose,VB,3
around,RP,1.5
around,RB,2
around,JJ,1.5
around,IN,1
arouse,IN,4
arouse,VB,4
arouse,NNP,4
arouse,RB,4
arouse,JJ,4
arrange,VB,3
arrangement,NN,3
array,NN,3.36719430595734
arrest,NN,3
arrest,VB,3
arrival,NN,3
arrive,VB,1
arrogance,NN,6
arrogance,JJ,6
arrogance,VB,6
arrogance,RB,6
arrogant,JJ,4
arrow,NN,3
arrow,JJ,3
arrow,IN,3
arrow,RB,3
arrow,VB,3
art,JJ,1
art,NN,1
art,VB,1
artery,NN,4
arthritis,NN,4.88173766406176
article,NN,1
articles,NNS,1
articulate,VB,4
articulate,NN,4
articulate,JJ,4
articulate,RB,4
artificial,NN,2
artificial,JJ,2
artillery,NN,3.8934268709755
artist,NN,3
artistic,JJ,3
artists,NNS,3
arts,NNS,1
artwork,NN,6
artwork,JJ,6
artwork,VB,6
as,RB,1.5
as,IN,1
as,NN,1.5
as,JJ,1.5
as,CC,2
ascend,NN,6
ascend,VB,6
ascend,IN,6
ascertain,VB,4.04543073367798
ascertain,NN,6
ascertain,IN,6
ascertain,RB,6
ashamed,JJ,3
ashtray,NNP,6
ashtray,JJ,6
ashtray,VB,6
asia,JJ,6
asia,NNP,2.23040662068819
asian,JJ,3.77988219760363
asian,NNP,3.88862338775226
aside,RP,3
aside,RB,3
ask,NN,1
ask,VB,1
asked,VBN,1
asked,JJ,1
asleep,RB,2
asleep,JJ,2
aspect,NN,3
aspects,NNS,3
asphalt,NN,4.77202920189734
asphalt,JJ,6
asphalt,IN,6
asphalt,DT,6
asphalt,VB,6
aspiration,NN,4
aspiration,JJ,4
aspiration,VB,4
assassination,NN,5.67473061794375
assault,NN,4
assault,JJ,4
assemble,NN,4
assemble,VB,4
assemble,JJ,4
assemble,RB,4
assemble,IN,4
assembly,NN,4
assertion,NN,4.10123062059534
assertion,IN,6
assertion,VB,6
assertion,JJ,6
assertive,JJ,4
assess,VB,4
assessment,NN,4
asset,NN,3.34554422342553
asset,JJ,6
assets,NNS,3.29830243122483
assets,JJ,3.29830243122483
assign,VB,3
assigned,VBN,3
assigned,JJ,3
assignment,NN,3
assist,VB,3
assistance,NN,3
assistant,JJ,2
assistant,NN,3
associate,JJ,3
associate,NN,3
associate,VB,3
associated,JJ,3
associated,NN,3
associated,VBN,3
associates,NNS,3
association,NN,2
assume,VB,3
assumption,NN,4
assurance,NN,4
assure,VB,4
asteroid,NNP,6
asteroid,JJ,6
asteroid,VB,6
asthma,NNP,5.10286098462508
asthma,JJ,6
astonish,VB,4
astonish,IN,4
astonish,JJ,4
astonish,NN,4
astonishing,JJ,4
astonishment,NN,4
astonishment,CC,4
astonishment,VB,4
astonishment,JJ,4
astronaut,NNP,2
astronomy,NN,4
astute,JJ,6
astute,NNP,6
asylum,NN,4.83391804535588
asylum,JJ,6
asylum,VB,6
at,JJ,1
at,NN,1
at,IN,1
ate,VB,1
athlete,NN,2
athlete,JJ,2
athletic,NN,3
athletic,JJ,3
athletics,NNS,4
atlantic,NN,3
atlantic,JJ,3
atlas,JJ,6
atlas,NNP,4.63325232988962
atm,NNP,5.81391857851468
atm,IN,6
atm,VB,6
atm,PRP,6
atm,JJ,6
atmosphere,NN,3
atmospheric,JJ,3.49715329668675
atoll,NNP,6
atoll,DT,6
atoll,VB,6
atom,NN,2
atom,IN,2
atom,RB,2
atom,JJ,2
atom,VB,2
atomic,JJ,3
attach,VB,3
attached,JJ,4
attached,VBN,4
attachment,NN,3
attachment,JJ,3
attachment,VB,3
attack,NN,2
attack,VB,2
attain,VB,3
attempt,VB,3
attempt,NN,2
attend,VB,3
attendance,NN,4
attention,NN,2
attention,VB,2
attentive,VB,4
attentive,JJ,4
attentive,NN,4
attic,NN,6
attic,JJ,6
attitude,NN,2
attorney,NN,1.9255690385788
attorney,JJ,5.98104906563163
attract,VB,3
attraction,NN,3
attractions,NNS,3
attractive,JJ,2
attribute,NN,4
attribute,VB,4
auburn,NN,5.78388801451415
auburn,JJ,6
auburn,DT,6
auburn,VB,6
auction,NN,4.55663741178446
auction,VB,6
auction,JJ,6
auctions,NNS,4.50479418061885
audacious,JJ,6
audacious,NN,6
audience,NN,2
audience,JJ,2
audio,JJ,2
audio,NNP,2
audit,NNP,4
audit,VB,4
audition,NN,4
audition,VB,4
auditor,NNP,4
auditor,VB,4
auditorium,NN,4
auditorium,JJ,4
augment,NN,3.88057962154534
augment,JJ,3.88057962154534
augment,VB,3.88057962154534
augmented,NN,3.88057962154534
augmented,VBN,3.88057962154534
augmented,JJ,3.88057962154534
august,NNP,1
august,JJ,1
aunt,NN,1
aurora,NNP,5.74032696653373
aurora,JJ,6
aurora,DT,6
australian,JJ,3.47754145711098
australian,NNP,3.72109457090721
austrian,JJ,4.88165546268026
austrian,NNP,6
authentic,JJ,4.37635834048455
authenticate,VB,5.39561043965174
authenticate,NN,5.39561043965174
authenticity,NN,5.39561043965174
author,NN,2
authorities,NNS,3
authority,NN,3
authorization,NN,2
authorize,VB,4
authorized,JJ,4
authorized,VB,4
authors,NNS,2
autism,NN,6
auto,NN,3.49792034225794
auto,JJ,6
autocracy,NN,6
automate,NN,6
automate,VB,6
automate,JJ,6
automatic,JJ,2
automatic,NN,2
automatically,RB,2
automation,NN,4.51403373139941
automation,JJ,6
automation,VB,6
automobile,NNP,2.92828924325133
automobile,JJ,6
automotive,NNP,5.68943937168041
automotive,JJ,4.96653245570075
autonomous,JJ,4.57080929904913
autonomous,NN,6
autonomy,NN,3.92968723952264
autonomy,JJ,6
autonomy,VB,6
autumn,NNP,1
auxiliary,JJ,3
auxiliary,NN,3
auxiliary,RB,3
auxiliary,VB,3
availability,NN,4
available,JJ,3
avalanche,NN,6
avalanche,JJ,6
avalanche,DT,6
avalanche,VB,6
avatar,NNP,6
avatar,DT,6
avatar,IN,6
ave,DT,6
ave,JJ,6
ave,VB,6
ave,NN,2.6371045056555
ave,IN,6
avenue,NNP,3
average,NN,2
average,JJ,2
average,VB,2
average,RB,2
avert,NNP,2.56752097006788
avert,VB,2.56752097006788
avert,JJ,2.56752097006788
avg,NNP,6
avg,IN,6
avg,JJ,6
avg,VB,6
aviation,NN,3.30782391636491
avocado,NN,6
avocado,DT,6
avocado,JJ,6
avocado,VB,6
avoid,VB,2
awake,RB,1
awake,JJ,1
awaken,VBN,6
award,NN,2
award,VB,3
awards,NNS,2.5
aware,JJ,3
awareness,NN,3
away,RP,1
away,JJ,1
away,RB,1
awe,NN,4
awe,JJ,4
awe,VB,4
awe,RP,4
awe,RB,4
awe,PRP,4
awe,IN,4
awesome,JJ,3
awesome,NN,3
awesome,DT,3
awesome,VB,3
awful,JJ,2
awful,RB,2
awhile,RB,6
awhile,NN,6
awhile,JJ,6
awhile,IN,6
awhile,VB,6
awkward,JJ,3
awning,NNP,6
awning,JJ,6
awning,VB,6
axiom,NN,6
axiom,JJ,6
axiom,VB,6
axis,NNS,4
axle,NN,5.57463090452048
axle,JJ,6
axle,DT,6
axle,IN,6
axle,RB,6
axle,VB,6
babes,NNP,6
baboon,NNP,6
baby,NN,1
baby,JJ,1
bachelor,NNP,4.57658379595638
bachelor,IN,6
bachelor,CC,6
bachelor,VB,6
bachelor,RP,6
bachelor,JJ,6
back,RP,1.75
back,NN,1
back,JJ,2
back,RB,1
back,VB,3
backbone,NN,5.81667359390521
background,NN,2
backlash,NN,6
backpack,NN,3
backpack,JJ,3
backpack,VB,3
backpack,RB,3
backpacker,NN,3
backpacking,NN,3
backpacking,VB,3
backpacking,JJ,3
backup,JJ,4
backup,NN,4
backward,RB,4
backward,JJ,4
backyard,NN,4
backyard,JJ,4
bacon,NNP,3
bacteria,JJ,6
bacteria,NNS,6
bacterial,NN,6
bacterial,JJ,3.99593339724289
bacterium,NN,6
bad,RB,1
bad,NN,1
bad,JJ,1
badge,NNP,4
badge,VB,4
badge,JJ,4
badger,NNP,4
badger,RB,4
badger,VB,4
badger,JJ,4
badminton,NN,2
badminton,JJ,2
bag,NN,1
bag,VB,1
baggage,NN,3
baggage,JJ,3
baggage,VB,3
bags,NNS,1
bail,NNP,5.28116235491589
bail,VB,6
bait,NNP,5.67930089195999
bait,VB,6
bait,JJ,6
bake,NNP,2
bake,JJ,2
bake,VB,2
baker,NNP,3
bakery,NN,3
bakery,JJ,3
balance,JJ,3.5
balance,NN,3
balance,RB,3.5
balance,VB,4
balcony,NN,2
balcony,JJ,2
bald,JJ,3
ball,NN,1
ball,JJ,1
ballad,NNP,4
ballad,JJ,4
ballad,VB,4
ballet,NN,4
ballet,JJ,4
balloon,NN,2
balloon,VB,2
ballot,JJ,4
ballot,NN,4
balmy,NN,6
balmy,RB,6
balmy,JJ,6
bamboo,NNP,5.84445118408651
bamboo,JJ,6
bamboo,RB,6
bamboo,VB,6
ban,NNP,4
ban,VB,4
banana,NNP,1
banana,JJ,1
band,VB,1
band,NN,1
bandage,NN,3
bandage,VB,3
bandana,NNP,6
bandwidth,NN,5.09618412151244
bandwidth,JJ,6
